FacilityName,Municipality,LONGITUDE,LATITUDE,Address,GSmartID
Sobeys,St. Catharines,-79.2295542208932,43.18751636685452,400 Scott Street,11502418
Sobeys ,Welland,-79.28702307007116,43.00415606496388,609 South Pelham Road,11381353
Real Canadian Superstore,Grimsby,-79.59207097257908,43.20524959688892,361 South Service Road,11469036
Outlet Collection at Niagara- Davids Tea,Niagara-on-the-Lake,-79.1720056732526,43.15887715089194,300 Taylor Road,11504411
No Frills - Supermarket,Fort Erie,-78.94356690241752,42.90764070897311,1135 Thompson Road,11490330
Food Basics,Welland,-79.27221397415806,43.00285283112824,325 Thorold Road,11331352
Giant Tiger,Niagara Falls,-79.09745821002493,43.11597039634402,6161 Thorold Stone Road,11382588
Commisso's Fresh Food,Niagara Falls,-79.09745821002493,43.11597039634402,6161 Thorold Stone Road,11382588
Busy Bee Food Mart,Niagara Falls,-79.07333148840752,43.09908818569336,5203 Victoria Avenue,11369020
Lococo's,Niagara Falls,-79.07409581882112,43.113508382159196,4167 Victoria Avenue,11349623
Walmart,St. Catharines,-79.21438839222421,43.176295090758856,459 - 525 Welland Avenue,11357587
No Frills - Dennis' (#3148),St. Catharines,-79.21438839222421,43.176295090758856,459 - 525 Welland Avenue,11357587
Pistachio's,St. Catharines,-79.2106058930381,43.176055886582716,526 Welland Avenue,11369461
Meg Africana,St. Catharines,-79.2378717843792,43.16702443494091,1A Wiley Street,11466042
Food Basics,St. Catharines,-79.2153310146588,43.14857579878997,149 Hartzel Road,11291788
No Frills - Supermarket,Niagara Falls,-79.10199889654436,43.088761910428936,6460 Lundy's Lane,11387213
Sobeys,Port Colborne,-79.26643742376586,42.904972655011136,287 West Side Road,11322964
Kurtz Country Market,Niagara-on-the-Lake,-79.06211577823467,43.2351366492525,16006 Niagara River Parkway,11296220
Sobeys ,Pelham,-79.27872021171298,43.04707423506525,110 Highway 20 East,11279813
Food Basics,Pelham,-79.27543487266489,43.04864561272185,130 Highway 20 East,11287016
Walmart,Welland,-79.22785216996287,43.01685213864746,102 Primeway Drive,11477411
FreshCo,St. Catharines,-79.20883333610118,43.178189227343275,286 Bunting Road,11322860
El Bodegon Latin Grocery,St. Catharines,-79.20963016136743,43.17955238132595,300 Bunting Road,11327007
Food Basics,Port Colborne,-79.25404871363642,42.885603806268804,124 Clarence Street,11284678
Polonez Meat Market,St. Catharines,-79.22732284383541,43.17532569812532,25 Facer Street,11316192
Walmart,Fort Erie,-78.9431373414925,42.90619222004906,750 Garrison Road,11400018
Food Basics,St. Catharines,-79.24162663902511,43.1763568983163,275 Geneva Street,11320869
Dinh Dinh Asian Foods,St. Catharines,-79.2406719352981,43.164186083429676,79 Geneva Street,11403225
Zehrs,St. Catharines,-79.24377244660978,43.17747041066139,285 Geneva Street,11490329
Sobeys,St. Catharines,-79.2159682146955,43.13723997464407,343 Glendale Avenue,11335072
Joe's ValuMart,Fort Erie,-79.06189298806025,42.883231545046065,311 Gorham Road,11328959
Antipastos,St. Catharines,-79.27854822242314,43.17421718031086,87 Hannover Drive,11410472
Bodner's Market,Port Colborne,-79.17420346298348,42.891561874666735,2971 Highway 3,11324668
FreshCo,Niagara Falls,-79.13700590094844,43.08780659489805,5931 Kalar Road,11502388
No Frills - Supermarket,Welland,-79.23717625543998,42.984759044135146,390 Lincoln Street,11343567
Sobeys,Grimsby,-79.56840914865612,43.197482089106906,34 Livingston Avenue,11492689
Real Canadian Superstore,St. Catharines,-79.26643013952084,43.153323666705425,411 Louth Street,11491951
Food Basics,Grimsby,-79.56358631900768,43.193729741627784,63 Main Street West,11384686
Wholesale Club ,Niagara Falls,-79.09217905511599,43.09084971140524,5772 Main Street,11375835
Pupo's Food Market,Welland,-79.25937801716626,42.988610800234206,195 Maple Avenue,11303652
Cheese Secrets,Niagara-on-the-Lake,-79.07254088413532,43.25485234961083,38 Market Street,11341481
Bamboo Natural Food Market Inc,St. Catharines,-79.27357747250227,43.17117075934322,211 Martindale Road,11308673
Food Basics,Niagara Falls,-79.1074559104047,43.06994260324467,6770 McLeod Road,11391123
Roman Cheese,Niagara Falls,-79.12346779272032,43.102262834721536,4916 Montrose Road,11362627
Food Basics,Niagara Falls,-79.12308193059225,43.11810458281462,3770 Montrose Road,11490331
Zehrs,Niagara Falls,-79.11254286143607,43.10307360010465,6940 Morrison Street,11472999
Zehrs,Welland,-79.25136865440571,43.017574144387254,821 Niagara Street,11407738
Costco,St. Catharines,-79.24791642876562,43.17798419160442,3 North Service Road,11325732
FreshCo,Welland,-79.23932317801146,42.97614747670466,835 Ontario Road,11478419
Sobeys,Lincoln,-79.47873215825932,43.18119686045125,4610 Ontario Street,11358340
FreshCo,St. Catharines,-79.2632542640216,43.16948370439059,318 Ontario Street,11468358
Foodland,Thorold,-79.2040224184334,43.125707257354215,9 Pine Street North,11412628
Sobeys,Niagara Falls,-79.09862765886756,43.11869121275181,3714 Portage Road,11340101
Hendriks ValuMart,Niagara-on-the-Lake,-79.0752261115159,43.25642832161514,130 Queen Street,11287057
Foodland,West Lincoln,-79.53800125149186,43.09615518667349,239 St Catharines Street,11313818
